Teste com a função original:

Lista original: 42 7 0 3 666 1 111 10 13 
Lista ordenada: 0 1 3 7 10 13 42 111 666 
Tempo utilizado: 0 nanosegundos.

Teste com a função otimizada:

Lista original: 42 7 0 3 666 1 111 10 13 
Lista ordenada: 0 1 3 7 10 13 42 111 666 
Tempo utilizado: 0 nanosegundos.

Usando 100 listas com 10000 termos:

(90) Função otimizada: 433725000 nanosegundos.
(91) Função original: 917239900 nanosegundos.
(91) Função otimizada: 426944200 nanosegundos.
(92) Função original: 889185300 nanosegundos.
(92) Função otimizada: 428768600 nanosegundos.
(93) Função original: 917503400 nanosegundos.
(93) Função otimizada: 478111700 nanosegundos.
(94) Função original: 892492700 nanosegundos.
(94) Função otimizada: 451840200 nanosegundos.
(95) Função original: 868003000 nanosegundos.
(95) Função otimizada: 457831800 nanosegundos.
(96) Função original: 957144900 nanosegundos.
(96) Função otimizada: 442420000 nanosegundos.
(97) Função original: 1063649400 nanosegundos.
(97) Função otimizada: 506771200 nanosegundos.
(98) Função original: 953007100 nanosegundos.
(98) Função otimizada: 467355900 nanosegundos.
(99) Função original: 866870300 nanosegundos.
(99) Função otimizada: 444741800 nanosegundos.
(100) Função original: 933235000 nanosegundos.
(100) Função otimizada: 475630800 nanosegundos.
